country,country_code,year,account_pct,bank_account_pct,mobile_account_pct
Senegal,SEN,2021,0.481770203,0.25285882,0.358028082
Sierra Leone,SLE,2021,0.342861359,0.163810963,0.233538339
Sierra Leone,SLE,2021,0.206725919,0.098657826,0.125581155
Singapore,SGP,2021,0.988799056,0.98280013,0.345899092
Singapore,SGP,2021,0.955489016,0.955489016,0.246082198
South Africa,ZAF,2021,0.903879137,0.895645553,0.433520835
South Africa,ZAF,2021,0.77822227,0.758888391,0.26329354
Tanzania,TZA,2021,0.613692188,0.288486619,0.536878298
Tanzania,TZA,2021,0.390159801,0.150211777,0.309031833
Thailand,THA,2021,0.941533914,0.933981049,0.672816828
Thailand,THA,2021,0.976796914,0.95251179,0.492445335
Togo,TGO,2021,0.565835641,0.287294733,0.431580112
Togo,TGO,2021,0.39040294,0.191021361,0.263707969
Turkiye,TUR,2021,0.82526556,0.815871725,0.232598993
Turkiye,TUR,2021,0.613740974,0.609714912,0.107821805
Uganda,UGA,2021,0.75561354,0.419256743,0.645135107
Uganda,UGA,2021,0.513881763,0.28482985,0.376594253
United Arab Emirates,ARE,2021,0.872747568,0.861946984,0.149589996
United Arab Emirates,ARE,2021,0.833963853,0.820596978,0.106540968
"Venezuela, RB",VEN,2021,0.885171338,0.879153622,0.332737342
"Venezuela, RB",VEN,2021,0.782085438,0.782085438,0.258646901
Viet Nam,VNM,2022,0.666331942,0.663780324,0.227877046
Viet Nam,VNM,2022,0.406903784,0.405701013,0.06968545
Zambia,ZMB,2021,0.589065245,0.28924882,0.534470456
Zambia,ZMB,2021,0.329143886,0.162088894,0.238728895
Zimbabwe,ZWE,2021,0.68276073,0.370046232,0.573238434
Zimbabwe,ZWE,2021,0.469225338,0.17591683,0.405732405
Botswana,BWA,2014,0.538269916,0.51373547,0.198760842
Botswana,BWA,2014,0.477309231,0.444017633,0.227415707
Cambodia,KHM,2014,0.205273912,0.125449482,0.112592615
Cambodia,KHM,2014,0.26329008,0.125858457,0.184685995
Cote d'Ivoire,CIV,2014,0.392803574,0.195560176,0.26174613
Cote d'Ivoire,CIV,2014,0.241007407,0.06025206,0.20317365
Ghana,GHA,2014,0.423422177,0.383135195,0.118232237
Ghana,GHA,2014,0.364241959,0.264056225,0.15636589
Kenya,KEN,2014,0.788519524,0.587349514,0.61847253
Kenya,KEN,2014,0.663570016,0.482202726,0.515553909
Mali,MLI,2014,0.222612003,0.157348718,0.120035239
Mali,MLI,2014,0.15706832,0.082917302,0.109204992
Namibia,NAM,2014,0.673533654,0.669389457,0.107726424
Namibia,NAM,2014,0.42122862,0.406534482,0.095479139
Rwanda,RWA,2014,0.50882778,0.479049227,0.210002017
Rwanda,RWA,2014,0.233265498,0.172234385,0.118758992
South Africa,ZAF,2014,0.770393775,0.758765949,0.163688811
South Africa,ZAF,2014,0.53500538,0.509810215,0.095729308
Tanzania,TZA,2014,0.439079248,0.22067825,0.358825889
Tanzania,TZA,2014,0.318718211,0.132440738,0.256090171
Uganda,UGA,2014,0.509221527,0.320089782,0.408700037
Uganda,UGA,2014,0.350350053,0.216410996,0.267135697
United Arab Emirates,ARE,2014,0.884041523,0.882393725,0.120008518
United Arab Emirates,ARE,2014,0.667392515,0.648349354,0.096308508
Zambia,ZMB,2014,0.395770248,0.368654757,0.114631714
Zambia,ZMB,2014,0.28843361,0.216526056,0.132405875
Zimbabwe,ZWE,2014,0.369464549,0.223347811,0.224548714
Zimbabwe,ZWE,2014,0.239638174,0.076768018,0.200067402
Bangladesh,BGD,2017,0.535263718,0.454147252,0.191689541
Bangladesh,BGD,2017,0.409932137,0.294141767,0.266504132
Benin,BEN,2017,0.407994899,0.335855642,0.175448265
Benin,BEN,2017,0.341760169,0.28708704,0.191188254
Botswana,BWA,2017,0.527257562,0.488181282,0.230693884
Botswana,BWA,2017,0.469702185,0.352567401,0.27518396
Burkina Faso,BFA,2017,0.45564783,0.283472782,0.33245855
Burkina Faso,BFA,2017,0.387174947,0.140912898,0.326107345
Cameroon,CMR,2017,0.396618173,0.327240245,0.146414389
Cameroon,CMR,2017,0.247821151,0.155373264,0.160979783
Chile,CHL,2017,0.742837975,0.739345596,0.175962571
Chile,CHL,2017,0.746411695,0.734002148,0.234639759
"Congo, Dem. Rep.",COD,2017,0.26635895,0.166602357,0.164893631
"Congo, Dem. Rep.",COD,2017,0.244776629,0.122249693,0.154424451
Cote d'Ivoire,CIV,2017,0.451340126,0.179797222,0.356017074
Cote d'Ivoire,CIV,2017,0.33582822,0.082203578,0.308982783
Gabon,GAB,2017,0.592071657,0.393508392,0.412921349
Gabon,GAB,2017,0.572273539,0.217953176,0.487703313
Ghana,GHA,2017,0.61894029,0.4810038,0.399768271
Ghana,GHA,2017,0.484647905,0.293987691,0.366680073
Guinea,GIN,2017,0.23322698,0.154422098,0.120050745
Guinea,GIN,2017,0.238042064,0.130416034,0.172388381
Haiti,HTI,2017,0.355182593,0.316581114,0.143357339
Haiti,HTI,2017,0.273337593,0.218574063,0.120232695
"Iran, Islamic Rep.",IRN,2017,0.945898285,0.94034222,0.236371549
"Iran, Islamic Rep.",IRN,2017,0.92279878,0.914581555,0.337425807
Kenya,KEN,2017,0.841128947,0.590544945,0.742974996
Kenya,KEN,2017,0.760208924,0.484471031,0.699553478
Lesotho,LSO,2017,0.480336054,0.363344261,0.286773926
Lesotho,LSO,2017,0.393502708,0.257414519,0.250365878
Liberia,LBR,2017,0.354797952,0.234509473,0.19468124
Liberia,LBR,2017,0.36137348,0.182041353,0.233319673
Malawi,MWI,2017,0.352345758,0.240549285,0.201281201
Malawi,MWI,2017,0.312785653,0.212878178,0.205826391
Malaysia,MYS,2017,0.85817039,0.856462818,0.088711874
Malaysia,MYS,2017,0.84058156,0.837277427,0.163228694
Maldives,MDV,2017,0.841351623,0.839962193,0.252916713
Maldives,MDV,2017,0.671353872,0.671353872,0.179161202
Mali,MLI,2017,0.367281677,0.202855679,0.239827459
Mali,MLI,2017,0.328938601,0.140534858,0.251957677
Mongolia,MNG,2017,0.959744282,0.959744282,0.248779411
Mongolia,MNG,2017,0.842399142,0.842399142,0.132311971
Mozambique,MOZ,2017,0.398059056,0.332955729,0.191821464
Mozambique,MOZ,2017,0.446341989,0.325378105,0.261354816
Namibia,NAM,2017,0.828584373,0.806321722,0.420557797
Namibia,NAM,2017,0.764894911,0.712202472,0.459880046
Paraguay,PRY,2017,0.546005403,0.366121367,0.312632486
Paraguay,PRY,2017,0.332892135,0.167878681,0.227386831
Rwanda,RWA,2017,0.543657973,0.432690325,0.305694257
Rwanda,RWA,2017,0.414591329,0.236338672,0.321885955
Senegal,SEN,2017,0.465296564,0.241493843,0.344992614
Senegal,SEN,2017,0.344454577,0.13199728,0.267008182
Sierra Leone,SLE,2017,0.201640488,0.134104756,0.110301332
Sierra Leone,SLE,2017,0.190533011,0.102106534,0.109941195
South Africa,ZAF,2017,0.716772308,0.699312106,0.198342559
South Africa,ZAF,2017,0.628989823,0.61026025,0.169159166
Tanzania,TZA,2017,0.47313645,0.225810534,0.392395197
Tanzania,TZA,2017,0.456326637,0.177696503,0.371416194
Togo,TGO,2017,0.459606794,0.351624137,0.199071751
Togo,TGO,2017,0.438808552,0.317716535,0.247098158
Turkiye,TUR,2017,0.719402378,0.713069636,0.153836104
Turkiye,TUR,2017,0.559270984,0.538740958,0.202992297
Uganda,UGA,2017,0.606080276,0.355248099,0.504888465
Uganda,UGA,2017,0.571416052,0.289290363,0.507161802
United Arab Emirates,ARE,2017,0.907353321,0.899841675,0.22342981
United Arab Emirates,ARE,2017,0.602096193,0.5863186,0.101180918
"Venezuela, RB",VEN,2017,0.782752922,0.782752922,0.120270526
"Venezuela, RB",VEN,2017,0.569840583,0.557644495,0.073211724
Zambia,ZMB,2017,0.484441665,0.396015387,0.272088235
Zambia,ZMB,2017,0.415426341,0.295162746,0.289030297
Zimbabwe,ZWE,2017,0.587692332,0.32366285,0.513830342
Zimbabwe,ZWE,2017,0.483546823,0.19852717,0.430091697
Argentina,ARG,2021,0.706820806,0.670240226,0.301113158
Argentina,ARG,2021,0.753671465,0.635606476,0.547651453
Armenia,ARM,2021,0.571453335,0.549304751,0.145122612
Armenia,ARM,2021,0.476440386,0.407465179,0.263015714
Bangladesh,BGD,2021,0.545490535,0.391016553,0.301365544
Bangladesh,BGD,2021,0.477993148,0.3362024,0.257576662
Benin,BEN,2021,0.536447927,0.288630211,0.385064851
Benin,BEN,2021,0.401233118,0.152462779,0.336155873
Bolivia,BOL,2021,0.699053025,0.693856699,0.105527798
Bolivia,BOL,2021,0.663624762,0.644503557,0.188950227
Botswana,BWA,2022,0.616383072,0.515723705,0.371652222
Botswana,BWA,2022,0.497241571,0.445581272,0.346909482
Brazil,BRA,2021,0.851499688,0.84662108,0.26190976
Brazil,BRA,2021,0.79917718,0.795017212,0.298028051
Burkina Faso,BFA,2021,0.365589918,0.243092357,0.231060187
Burkina Faso,BFA,2021,0.352273782,0.146823069,0.277150804
Cameroon,CMR,2021,0.533308015,0.270491212,0.422390277
Cameroon,CMR,2021,0.485632239,0.170523043,0.427908874
Chad,TCD,2022,0.264806379,0.212187484,0.139174088
Chad,TCD,2022,0.189175152,0.134620755,0.09023845
Colombia,COL,2021,0.625823082,0.593103223,0.20027619
Colombia,COL,2021,0.500012094,0.445312378,0.276588229
"Congo, Rep.",COG,2021,0.476979716,0.207722434,0.351930649
"Congo, Rep.",COG,2021,0.458190752,0.118162854,0.405489366
Cote d'Ivoire,CIV,2021,0.55879224,0.241751269,0.439843874
Cote d'Ivoire,CIV,2021,0.3998009,0.129842792,0.328345135
El Salvador,SLV,2021,0.371029216,0.321825069,0.104926174
El Salvador,SLV,2021,0.316502082,0.257953182,0.123380044
Eswatini,SWZ,2022,0.737458227,0.429437921,0.64073681
Eswatini,SWZ,2022,0.465979099,0.26900156,0.377891013
Gabon,GAB,2021,0.65060414,0.319690325,0.548819793
Gabon,GAB,2021,0.681322833,0.187921065,0.626269973
