country,country_code,year,account_pct,bank_account_pct,mobile_account_pct,digital_account_pct,country_name,poverty_headcount,gini
Peru,PER,2024,0.561785669,0.461285922,0.373625034,0.422616896,Peru,0.051405638887,0.401258629673
Tajikistan,TJK,2024,0.625557725,0.588959209,0.218867251,0.359353523,Tajikistan,0.0613354089,0.361080032292
Tajikistan,TJK,2024,0.469005363,0.463862777,0.073611202,0.202759668,Tajikistan,0.0613354089,0.361080032292
Argentina,ARG,2024,0.864417641,0.794774104,0.614011013,0.768146342,Argentina,0.009636804608,0.423533182338
Argentina,ARG,2024,0.746649665,0.629851591,0.497144608,0.630086258,Argentina,0.009636804608,0.423533182338
Dominican Republic,DOM,2024,0.726289033,0.71181054,0.233989507,0.527579606,Dominican Republic,0.007753300784,0.389712571405
Dominican Republic,DOM,2024,0.52950278,0.514069733,0.099059862,0.252243277,Dominican Republic,0.007753300784,0.389712571405
Ecuador,ECU,2024,0.698771073,0.695118194,0.135344164,0.485514483,Ecuador,0.073132636601,0.451954747261
Ecuador,ECU,2024,0.564453859,0.555994841,0.04909266,0.231563824,Ecuador,0.073132636601,0.451954747261
Honduras,HND,2024,0.482404991,0.455967211,0.115911306,0.256645668,Honduras,0.157173706393,0.45676117381
Honduras,HND,2024,0.337073036,0.297446057,0.098316783,0.186965713,Honduras,0.157173706393,0.45676117381
Indonesia,IDN,2024,0.615891425,0.572398132,0.285681428,0.442385364,Indonesia,0.054381132299,0.348943937896
Indonesia,IDN,2024,0.484188045,0.451042862,0.121587297,0.270435563,Indonesia,0.054381132299,0.348943937896
Panama,PAN,2024,0.765155782,0.740074665,0.502039899,0.62759359,Panama,0.031258316921,0.497335432231
Panama,PAN,2024,0.454815776,0.411766446,0.198439433,0.284061087,Panama,0.031258316921,0.497335432231
Paraguay,PRY,2024,0.681355834,0.534994885,0.412431531,0.552463302,Paraguay,0.021053328962,0.442453362094
Paraguay,PRY,2024,0.500776335,0.336069125,0.279982282,0.352759501,Paraguay,0.021053328962,0.442453362094
Peru,PER,2024,0.690577749,0.592945296,0.540667372,0.602507858,Peru,0.051405638887,0.401258629673
Peru,PER,2024,0.446241136,0.355572156,0.250673147,0.294106809,Peru,0.051405638887,0.401258629673
Tajikistan,TJK,2024,0.575514616,0.545489262,0.197862023,0.34294567,Tajikistan,0.0613354089,0.361080032292
Tajikistan,TJK,2024,0.499650557,0.493580508,0.063852793,0.182871462,Tajikistan,0.0613354089,0.361080032292
Argentina,ARG,2024,0.810976343,0.751253701,0.521534409,0.687142219,Argentina,0.009636804608,0.423533182338
Argentina,ARG,2024,0.843725876,0.6384922,0.753811424,0.818496987,Argentina,0.009636804608,0.423533182338
Dominican Republic,DOM,2024,0.700094574,0.687436418,0.183038647,0.43272542,Dominican Republic,0.007753300784,0.389712571405
