country,country_code,year,account_pct,bank_account_pct,mobile_account_pct,digital_account_pct
Kenya,KEN,2024,0.898479264,0.405625122,0.882150854,0.889792189
Kyrgyz Republic,KGZ,2024,0.773597564,0.753280158,0.332284823,0.626274153
Kyrgyz Republic,KGZ,2024,0.552359148,0.520147333,0.237052418,0.473186656
Lao PDR,LAO,2024,0.40696207,0.404548771,0.120153971,0.282237103
Lao PDR,LAO,2024,0.302399256,0.293842455,0.114079002,0.249316961
Lesotho,LSO,2024,0.649069683,0.377722607,0.553099856,0.591997197
Lesotho,LSO,2024,0.531560954,0.228259867,0.488385229,0.493783679
Liberia,LBR,2024,0.535715586,0.140255581,0.490012342,0.497757715
Liberia,LBR,2024,0.497649483,0.136265598,0.448739869,0.457967198
Malawi,MWI,2024,0.519133941,0.134190971,0.49259073,0.493112207
Malawi,MWI,2024,0.477891538,0.10714331,0.442901899,0.448787451
Malaysia,MYS,2024,0.891171379,0.88778275,0.418252373,0.630299148
Malaysia,MYS,2024,0.870831219,0.811499524,0.54639889,0.749885778
Mali,MLI,2024,0.596893977,0.219201413,0.502182126,0.546964217
Mali,MLI,2024,0.458003633,0.121644671,0.450754846,0.453543553
Mauritius,MUS,2024,0.895622248,0.895622248,0.090615703,0.621373055
Mauritius,MUS,2024,0.897825431,0.892931228,0.155421684,0.683769162
Mexico,MEX,2024,0.554321327,0.549749686,0.104692947,0.354069764
Mexico,MEX,2024,0.446702388,0.43379887,0.103262265,0.309734506
Mongolia,MNG,2024,0.988850129,0.988850129,0.633394305,0.980594285
Mongolia,MNG,2024,0.958622875,0.955590816,0.667843652,0.888137798
Mozambique,MOZ,2024,0.570965845,0.283349844,0.463931683,0.511582479
Mozambique,MOZ,2024,0.499572795,0.197746827,0.446231982,0.472343769
Namibia,NAM,2024,0.786315751,0.719020957,0.500073847,0.707183786
Namibia,NAM,2024,0.591272853,0.404763593,0.446812451,0.549340509
Nepal,NPL,2024,0.673720985,0.671925081,0.073076439,0.151265823
Nepal,NPL,2024,0.391164573,0.301862983,0.198479278,0.246779829
Nigeria,NGA,2024,0.736886247,0.696313244,0.363824022,0.610316392
Nigeria,NGA,2024,0.444306589,0.418426847,0.263045639,0.388999871
Pakistan,PAK,2024,0.285427199,0.211593731,0.182703973,0.201544076
Pakistan,PAK,2024,0.243424902,0.114628905,0.185650775,0.191233524
Panama,PAN,2024,0.658787018,0.633647321,0.36610663,0.491828392
Panama,PAN,2024,0.575227278,0.516669928,0.433699337,0.483757286
Paraguay,PRY,2024,0.65079302,0.508153407,0.365891925,0.485327038
Paraguay,PRY,2024,0.472972593,0.283105137,0.338516895,0.431086186
